,Lon_N,Lat_N,Lon_S,Lat_S
494,143.132,80.6582,233.735,-84.6517
495,143.122,80.6785,233.505,-84.661
496,143.111,80.6989,233.274,-84.6702
497,143.1,80.7192,233.043,-84.6793
498,143.09,80.7395,232.812,-84.6884
499,143.079,80.7599,232.579,-84.6974
500,143.069,80.7803,232.347,-84.7064
501,143.059,80.8007,232.113,-84.7154
502,143.049,80.8211,231.88,-84.7243
503,143.039,80.8415,231.645,-84.7332
504,143.029,80.8619,231.411,-84.742
505,143.02,80.8824,231.175,-84.7508
506,143.01,80.9028,230.939,-84.7596
507,143.001,80.9233,230.703,-84.7682
508,142.992,80.9438,230.466,-84.7769
509,142.983,80.9643,230.229,-84.7855
510,142.974,80.9848,229.991,-84.794
511,142.965,81.0054,229.752,-84.8025
512,142.956,81.0259,229.513,-84.811
513,142.948,81.0465,229.274,-84.8194
514,142.94,81.067,229.034,-84.8277
515,142.932,81.0876,228.793,-84.836
516,142.924,81.1082,228.552,-84.8443
517,142.916,81.1289,228.31,-84.8525
518,142.908,81.1495,228.068,-84.8607
519,142.901,81.1701,227.826,-84.8688
520,142.893,81.1908,227.583,-84.8768
521,142.886,81.2115,227.339,-84.8849
522,142.879,81.2321,227.095,-84.8928
523,142.872,81.2528,226.85,-84.9007
524,142.865,81.2736,226.605,-84.9086
525,142.859,81.2943,226.359,-84.9164
526,142.853,81.315,226.113,-84.9241
527,142.846,81.3358,225.866,-84.9318
528,142.84,81.3565,225.619,-84.9395
529,142.835,81.3773,225.372,-84.9471
530,142.829,81.3981,225.123,-84.9546
531,142.824,81.4189,224.875,-84.9621
532,142.818,81.4397,224.625,-84.9696
533,142.813,81.4606,224.376,-84.9769
534,142.808,81.4814,224.126,-84.9843
535,142.804,81.5023,223.875,-84.9916
536,142.799,81.5231,223.624,-84.9988
537,142.795,81.544,223.372,-85.006
538,142.791,81.5649,223.12,-85.0131
539,142.787,81.5858,222.867,-85.0201
540,142.784,81.6067,222.614,-85.0271
541,142.78,81.6277,222.361,-85.0341
542,142.777,81.6486,222.107,-85.041
543,142.774,81.6696,221.852,-85.0478
544,142.771,81.6905,221.597,-85.0546
545,142.769,81.7115,221.342,-85.0613
546,142.766,81.7325,221.086,-85.068
547,142.764,81.7535,220.83,-85.0746
548,142.762,81.7745,220.573,-85.0811
549,142.761,81.7956,220.316,-85.0876
550,142.759,81.8166,220.058,-85.094
551,142.758,81.8377,219.8,-85.1004
552,142.757,81.8587,219.541,-85.1067
553,142.756,81.8798,219.282,-85.113
554,142.756,81.9009,219.023,-85.1192
555,142.756,81.922,218.763,-85.1253
556,142.756,81.9431,218.502,-85.1314
