,Lon_N,Lat_N,Lon_S,Lat_S
463,136.838,80.1686,238.777,-83.6756
464,136.802,80.1901,238.57,-83.6847
465,136.767,80.2117,238.363,-83.6938
466,136.731,80.2333,238.154,-83.7028
467,136.695,80.2549,237.946,-83.7117
468,136.659,80.2766,237.737,-83.7206
469,136.623,80.2982,237.528,-83.7295
470,136.586,80.3199,237.318,-83.7383
471,136.55,80.3416,237.108,-83.747
472,136.514,80.3633,236.897,-83.7558
473,136.477,80.385,236.686,-83.7644
474,136.441,80.4068,236.475,-83.773
475,136.404,80.4286,236.263,-83.7816
476,136.368,80.4504,236.051,-83.7901
477,136.331,80.4722,235.839,-83.7985
478,136.294,80.494,235.626,-83.8069
479,136.258,80.5159,235.412,-83.8153
480,136.221,80.5378,235.198,-83.8236
481,136.184,80.5596,234.984,-83.8318
482,136.147,80.5816,234.77,-83.84
483,136.11,80.6035,234.555,-83.8481
484,136.073,80.6255,234.339,-83.8562
485,136.036,80.6474,234.123,-83.8643
486,135.999,80.6694,233.907,-83.8722
487,135.961,80.6915,233.69,-83.8802
488,135.924,80.7135,233.473,-83.8881
489,135.887,80.7356,233.256,-83.8959
490,135.849,80.7577,233.038,-83.9037
491,135.812,80.7798,232.82,-83.9114
492,135.774,80.8019,232.602,-83.919
493,135.737,80.824,232.383,-83.9267
494,135.699,80.8462,232.163,-83.9342
495,135.661,80.8684,231.943,-83.9417
496,135.623,80.8906,231.723,-83.9492
497,135.586,80.9128,231.503,-83.9565
498,135.548,80.9351,231.282,-83.9639
499,135.51,80.9573,231.061,-83.9712
500,135.472,80.9796,230.839,-83.9784
501,135.434,81.0019,230.617,-83.9855
502,135.396,81.0243,230.395,-83.9927
503,135.358,81.0466,230.172,-83.9997
504,135.32,81.069,229.949,-84.0067
505,135.282,81.0914,229.725,-84.0137
506,135.243,81.1138,229.501,-84.0205
507,135.205,81.1363,229.277,-84.0274
508,135.167,81.1587,229.053,-84.0341
509,135.129,81.1812,228.828,-84.0409
510,135.09,81.2037,228.602,-84.0475
511,135.052,81.2262,228.377,-84.0541
512,135.014,81.2488,228.151,-84.0607
513,134.975,81.2713,227.924,-84.0672
514,134.937,81.2939,227.698,-84.0736
515,134.898,81.3165,227.471,-84.08
516,134.86,81.3392,227.243,-84.0863
517,134.821,81.3618,227.016,-84.0925
518,134.783,81.3845,226.788,-84.0987
519,134.744,81.4072,226.559,-84.1048
520,134.705,81.4299,226.33,-84.1109
521,134.667,81.4526,226.101,-84.117
522,134.628,81.4754,225.872,-84.1229
523,134.589,81.4982,225.642,-84.1288
524,134.551,81.521,225.412,-84.1346
525,134.512,81.5438,225.182,-84.1404
526,134.473,81.5666,224.951,-84.1461
527,134.434,81.5895,224.72,-84.1518
528,134.396,81.6124,224.489,-84.1574
529,134.357,81.6353,224.257,-84.1629
530,134.318,81.6582,224.025,-84.1684
531,134.279,81.6811,223.793,-84.1738
532,134.24,81.7041,223.56,-84.1791
533,134.202,81.7271,223.328,-84.1844
534,134.163,81.7501,223.094,-84.1897
535,134.124,81.7731,222.861,-84.1948
536,134.085,81.7962,222.627,-84.1999
537,134.046,81.8193,222.393,-84.205
538,134.007,81.8424,222.159,-84.21
539,133.968,81.8655,221.925,-84.2149
540,133.93,81.8886,221.69,-84.2197
541,133.891,81.9118,221.455,-84.2245
542,133.852,81.935,221.219,-84.2293
543,133.813,81.9582,220.984,-84.2339
544,133.774,81.9814,220.748,-84.2385
545,133.735,82.0046,220.512,-84.2431
546,133.696,82.0279,220.275,-84.2476
547,133.658,82.0512,220.039,-84.252
548,133.619,82.0745,219.802,-84.2563
549,133.58,82.0978,219.564,-84.2606
550,133.541,82.1211,219.327,-84.2649
551,133.502,82.1445,219.09,-84.269
552,133.463,82.1679,218.852,-84.2731
553,133.425,82.1913,218.614,-84.2771
554,133.386,82.2147,218.375,-84.2811
555,133.347,82.2382,218.137,-84.285
556,133.309,82.2617,217.898,-84.2889
557,133.27,82.2852,217.659,-84.2926
558,133.231,82.3087,217.42,-84.2964
559,133.193,82.3322,217.18,-84.3
560,133.154,82.3558,216.941,-84.3036
561,133.115,82.3793,216.701,-84.3071
562,133.077,82.4029,216.461,-84.3106
563,133.038,82.4266,216.221,-84.3139
564,133,82.4502,215.981,-84.3173
565,132.961,82.4739,215.74,-84.3205
566,132.923,82.4975,215.499,-84.3237
567,132.885,82.5213,215.259,-84.3268
568,132.846,82.545,215.017,-84.3299
569,132.808,82.5687,214.776,-84.3329
570,132.77,82.5925,214.535,-84.3358
571,132.732,82.6163,214.293,-84.3387
572,132.693,82.6401,214.052,-84.3415
573,132.655,82.6639,213.81,-84.3442
574,132.617,82.6877,213.568,-84.3469
575,132.579,82.7116,213.326,-84.3495
576,132.541,82.7355,213.083,-84.352
577,132.503,82.7594,212.841,-84.3545
578,132.466,82.7833,212.598,-84.3569
579,132.428,82.8073,212.356,-84.3592
580,132.39,82.8312,212.113,-84.3615
581,132.352,82.8552,211.87,-84.3637
582,132.315,82.8792,211.627,-84.3658
583,132.277,82.9033,211.384,-84.3679
584,132.24,82.9273,211.141,-84.3699
585,132.202,82.9514,210.898,-84.3718
586,132.165,82.9755,210.654,-84.3737
587,132.128,82.9996,210.411,-84.3755
588,132.091,83.0237,210.167,-84.3773
589,132.054,83.0479,209.924,-84.3789
590,132.017,83.072,209.68,-84.3805
591,131.98,83.0962,209.436,-84.382
592,131.943,83.1204,209.192,-84.3835
593,131.906,83.1447,208.948,-84.3849
594,131.869,83.1689,208.704,-84.3862
595,131.833,83.1932,208.46,-84.3875
596,131.796,83.2175,208.216,-84.3887
597,131.76,83.2418,207.972,-84.3898
598,131.724,83.2661,207.728,-84.3909
