Lon_euro,Lon_efp,Lat_efp
61.9000,50.1577,-62.1791
62.0000,50.2243,-62.1804
62.1000,50.291,-62.1817
62.2000,50.3576,-62.1830
62.3000,50.4242,-62.1844
62.4000,50.4908,-62.1857
62.5000,50.5574,-62.1871
62.6000,50.624,-62.1885
62.7000,50.6907,-62.1898
62.8000,50.7573,-62.1912
62.9000,50.8239,-62.1926
63.0000,50.8905,-62.1941
63.1000,50.9571,-62.1955
63.2000,51.0237,-62.1969
63.3000,51.0903,-62.1984
63.4000,51.1569,-62.1999
63.5000,51.2236,-62.2013
63.6000,51.2902,-62.2028
63.7000,51.3568,-62.2043
63.8000,51.4234,-62.2058
63.9000,51.49,-62.2074
64.0000,51.5566,-62.2089
64.1000,51.6232,-62.2104
64.2000,51.6898,-62.2120
64.3000,51.7564,-62.2136
64.4000,51.823,-62.2151
64.5000,51.8896,-62.2167
64.6000,51.9562,-62.2183
64.7000,52.0228,-62.2199
64.8000,52.0895,-62.2216
64.9000,52.1561,-62.2232
65.0000,52.2227,-62.2248
65.1000,52.2893,-62.2265
65.2000,52.3559,-62.2282
65.3000,52.4225,-62.2298
65.4000,52.4891,-62.2315
65.5000,52.5557,-62.2332
65.6000,52.6223,-62.2349
65.7000,52.6889,-62.2367
65.8000,52.7555,-62.2384
65.9000,52.8222,-62.2401
66.0000,52.8888,-62.2419
66.1000,52.9554,-62.2436
66.2000,53.022,-62.2454
66.3000,53.0886,-62.2472
66.4000,53.1552,-62.2490
66.5000,53.2218,-62.2508
66.6000,53.2885,-62.2526
66.7000,53.3551,-62.2544
66.8000,53.4217,-62.2563
66.9000,53.4883,-62.2581
67.0000,53.555,-62.2600
67.1000,53.6216,-62.2618
67.2000,53.6882,-62.2637
67.3000,53.7548,-62.2656
67.4000,53.8215,-62.2675
67.5000,53.8881,-62.2694
67.6000,53.9547,-62.2713
67.7000,54.0213,-62.2733
67.8000,54.088,-62.2752
67.9000,54.1546,-62.2772
68.0000,54.2213,-62.2791
68.1000,54.2879,-62.2811
68.2000,54.3545,-62.2831
68.3000,54.4212,-62.2850
68.4000,54.4878,-62.2870
68.5000,54.5545,-62.2891
68.6000,54.6211,-62.2911
68.7000,54.6878,-62.2931
68.8000,54.7544,-62.2951
68.9000,54.8211,-62.2972
69.0000,54.8878,-62.2993
69.1000,54.9544,-62.3013
69.2000,55.0211,-62.3034
69.3000,55.0878,-62.3055
69.4000,55.1544,-62.3076
69.5000,55.2211,-62.3097
69.6000,55.2878,-62.3118
69.7000,55.3544,-62.3140
69.8000,55.4211,-62.3161
69.9000,55.4878,-62.3182
70.0000,55.5545,-62.3204
70.1000,55.6212,-62.3226
70.2000,55.6879,-62.3247
70.3000,55.7546,-62.3269
70.4000,55.8213,-62.3291
70.5000,55.888,-62.3313
70.6000,55.9547,-62.3336
70.7000,56.0214,-62.3358
70.8000,56.0881,-62.3380
70.9000,56.1548,-62.3403
71.0000,56.2215,-62.3425
71.1000,56.2882,-62.3448
71.2000,56.355,-62.3471
71.3000,56.4217,-62.3494
71.4000,56.4884,-62.3517
71.5000,56.5551,-62.3540
71.6000,56.6219,-62.3563
71.7000,56.6886,-62.3586
71.8000,56.7554,-62.3609
71.9000,56.8221,-62.3633
72.0000,56.8889,-62.3656
72.1000,56.9556,-62.3680
72.2000,57.0224,-62.3704
72.3000,57.0891,-62.3728
72.4000,57.1559,-62.3752
72.5000,57.2227,-62.3776
72.6000,57.2895,-62.3800
72.7000,57.3562,-62.3824
72.8000,57.423,-62.3848
72.9000,57.4898,-62.3873
73.0000,57.5566,-62.3897
73.1000,57.6234,-62.3922
73.2000,57.6902,-62.3947
73.3000,57.757,-62.3972
73.4000,57.8238,-62.3997
73.5000,57.8906,-62.4022
73.6000,57.9574,-62.4047
73.7000,58.0243,-62.4072
73.8000,58.0911,-62.4097
73.9000,58.1579,-62.4123
74.0000,58.2248,-62.4148
74.1000,58.2916,-62.4174
74.2000,58.3584,-62.4200
74.3000,58.4253,-62.4225
74.4000,58.4922,-62.4251
74.5000,58.559,-62.4277
74.6000,58.6259,-62.4303
74.7000,58.6928,-62.4330
74.8000,58.7596,-62.4356
74.9000,58.8265,-62.4382
75.0000,58.8934,-62.4409
75.1000,58.9603,-62.4436
75.2000,59.0272,-62.4462
75.3000,59.0941,-62.4489
75.4000,59.161,-62.4516
75.5000,59.2279,-62.4543
75.6000,59.2948,-62.4570
75.7000,59.3617,-62.4597
75.8000,59.4287,-62.4625
75.9000,59.4956,-62.4652
76.0000,59.5626,-62.4679
76.1000,59.6295,-62.4707
76.2000,59.6965,-62.4735
76.3000,59.7634,-62.4763
76.4000,59.8304,-62.4791
76.5000,59.8973,-62.4819
76.6000,59.9643,-62.4847
76.7000,60.0313,-62.4875
76.8000,60.0983,-62.4903
76.9000,60.1653,-62.4932
77.0000,60.2323,-62.4960
77.1000,60.2993,-62.4989
77.2000,60.3663,-62.5018
77.3000,60.4333,-62.5047
77.4000,60.5003,-62.5076
77.5000,60.5674,-62.5105
77.6000,60.6344,-62.5134
77.7000,60.7014,-62.5163
77.8000,60.7685,-62.5192
77.9000,60.8355,-62.5222
78.0000,60.9026,-62.5252
78.1000,60.9697,-62.5281
78.2000,61.0367,-62.5311
78.3000,61.1038,-62.5341
78.4000,61.1709,-62.5371
78.5000,61.238,-62.5401
78.6000,61.3051,-62.5431
78.7000,61.3722,-62.5462
78.8000,61.4393,-62.5492
78.9000,61.5064,-62.5523
79.0000,61.5735,-62.5553
79.1000,61.6407,-62.5584
79.2000,61.7078,-62.5615
79.3000,61.775,-62.5646
79.4000,61.8421,-62.5677
79.5000,61.9093,-62.5708
79.6000,61.9764,-62.5739
79.7000,62.0436,-62.5771
79.8000,62.1108,-62.5802
79.9000,62.178,-62.5834
80.0000,62.2452,-62.5866
80.1000,62.3124,-62.5898
80.2000,62.3796,-62.5930
80.3000,62.4468,-62.5962
80.4000,62.514,-62.5994
80.5000,62.5812,-62.6026
80.6000,62.6485,-62.6059
80.7000,62.7157,-62.6091
80.8000,62.783,-62.6124
80.9000,62.8502,-62.6157
81.0000,62.9175,-62.6189
81.1000,62.9848,-62.6222
81.2000,63.0521,-62.6256
81.3000,63.1194,-62.6289
81.4000,63.1866,-62.6322
81.5000,63.254,-62.6356
81.6000,63.3213,-62.6389
81.7000,63.3886,-62.6423
81.8000,63.4559,-62.6457
81.9000,63.5232,-62.6491
82.0000,63.5906,-62.6525
82.1000,63.6579,-62.6559
82.2000,63.7253,-62.6593
82.3000,63.7927,-62.6627
82.4000,63.86,-62.6662
82.5000,63.9274,-62.6697
82.6000,63.9948,-62.6731
82.7000,64.0622,-62.6766
82.8000,64.1296,-62.6801
82.9000,64.197,-62.6836
83.0000,64.2644,-62.6872
83.1000,64.3319,-62.6907
83.2000,64.3993,-62.6942
83.3000,64.4668,-62.6978
83.4000,64.5342,-62.7014
83.5000,64.6017,-62.7050
83.6000,64.6691,-62.7086
83.7000,64.7366,-62.7122
83.8000,64.8041,-62.7158
83.9000,64.8716,-62.7194
84.0000,64.9391,-62.7231
84.1000,65.0066,-62.7267
84.2000,65.0741,-62.7304
84.3000,65.1417,-62.7341
84.4000,65.2092,-62.7378
84.5000,65.2767,-62.7415
84.6000,65.3443,-62.7452
84.7000,65.4118,-62.7490
84.8000,65.4794,-62.7527
84.9000,65.547,-62.7565
85.0000,65.6146,-62.7603
85.1000,65.6822,-62.7641
85.2000,65.7498,-62.7679
85.3000,65.8174,-62.7717
85.4000,65.885,-62.7755
85.5000,65.9526,-62.7793
85.6000,66.0203,-62.7832
85.7000,66.0879,-62.7871
85.8000,66.1556,-62.7910
85.9000,66.2232,-62.7949
86.0000,66.2909,-62.7988
86.1000,66.3586,-62.8027
86.2000,66.4263,-62.8066
86.3000,66.494,-62.8106
86.4000,66.5617,-62.8145
86.5000,66.6294,-62.8185
86.6000,66.6971,-62.8225
86.7000,66.7649,-62.8265
86.8000,66.8326,-62.8305
86.9000,66.9004,-62.8346
87.0000,66.9681,-62.8386
87.1000,67.0359,-62.8427
87.2000,67.1037,-62.8468
87.3000,67.1714,-62.8509
87.4000,67.2392,-62.8550
87.5000,67.307,-62.8591
87.6000,67.3749,-62.8632
87.7000,67.4427,-62.8674
87.8000,67.5105,-62.8715
87.9000,67.5784,-62.8757
88.0000,67.6462,-62.8799
88.1000,67.7141,-62.8841
88.2000,67.7819,-62.8883
88.3000,67.8498,-62.8926
88.4000,67.9177,-62.8968
88.5000,67.9856,-62.9011
88.6000,68.0535,-62.9054
88.7000,68.1214,-62.9097
88.8000,68.1893,-62.9140
88.9000,68.2573,-62.9183
89.0000,68.3252,-62.9227
89.1000,68.3932,-62.9270
89.2000,68.4611,-62.9314
89.3000,68.5291,-62.9358
89.4000,68.5971,-62.9402
89.5000,68.665,-62.9446
89.6000,68.733,-62.9490
89.7000,68.801,-62.9535
89.8000,68.8691,-62.9579
89.9000,68.9371,-62.9624
90.0000,69.0051,-62.9669
90.1000,69.0732,-62.9714
90.2000,69.1412,-62.9760
90.3000,69.2093,-62.9805
90.4000,69.2774,-62.9851
90.5000,69.3454,-62.9897
90.6000,69.4135,-62.9942
90.7000,69.4816,-62.9989
90.8000,69.5497,-63.0035
90.9000,69.6178,-63.0081
91.0000,69.686,-63.0128
91.1000,69.7541,-63.0175
91.2000,69.8222,-63.0221
91.3000,69.8904,-63.0269
91.4000,69.9586,-63.0316
91.5000,70.0267,-63.0363
91.6000,70.0949,-63.0411
91.7000,70.1631,-63.0459
91.8000,70.2313,-63.0507
91.9000,70.2995,-63.0555
92.0000,70.3678,-63.0603
92.1000,70.436,-63.0651
92.2000,70.5042,-63.0700
92.3000,70.5725,-63.0749
92.4000,70.6407,-63.0798
92.5000,70.709,-63.0847
92.6000,70.7773,-63.0896
92.7000,70.8456,-63.0946
92.8000,70.9139,-63.0995
92.9000,70.9822,-63.1045
93.0000,71.0505,-63.1095
93.1000,71.1188,-63.1145
93.2000,71.1871,-63.1196
93.3000,71.2555,-63.1246
93.4000,71.3238,-63.1297
93.5000,71.3922,-63.1348
93.6000,71.4606,-63.1399
93.7000,71.529,-63.1450
93.8000,71.5974,-63.1502
93.9000,71.6657,-63.1553
94.0000,71.7342,-63.1605
94.1000,71.8026,-63.1657
94.2000,71.871,-63.1709
