Lon_io_S,Lon_ifp_S,Lat_ifp_S,Lon_io_N,Lon_ifp_N,Lat_ifp_N
248,259.548,-73.4286,248,210.357,59.2832
248.1,259.669,-73.4151,248.1,210.426,59.3023
248.2,259.79,-73.4016,248.2,210.495,59.3214
248.3,259.911,-73.3881,248.3,210.565,59.3406
248.4,260.031,-73.3746,248.4,210.635,59.3598
248.5,260.152,-73.3611,248.5,210.704,59.379
248.6,260.273,-73.3475,248.6,210.774,59.3981
248.7,260.394,-73.334,248.7,210.844,59.4173
248.8,260.514,-73.3204,248.8,210.914,59.4365
248.9,260.635,-73.3068,248.9,210.984,59.4557
249,260.756,-73.2932,249,211.055,59.4749
249.1,260.876,-73.2795,249.1,211.125,59.4942
249.2,260.997,-73.2659,249.2,211.196,59.5134
249.3,261.117,-73.2522,249.3,211.266,59.5326
249.4,261.238,-73.2386,249.4,211.337,59.5519
249.5,261.358,-73.2249,249.5,211.408,59.5711
249.6,261.479,-73.2113,249.6,211.479,59.5904
249.7,261.599,-73.1975,249.7,211.55,59.6096
249.8,261.72,-73.1838,249.8,211.621,59.6289
249.9,261.84,-73.1701,249.9,211.692,59.6482
250,261.96,-73.1564,250,211.764,59.6675
250.1,262.081,-73.1426,250.1,211.835,59.6868
250.2,262.201,-73.1289,250.2,211.907,59.706
250.3,262.321,-73.1151,250.3,211.979,59.7253
250.4,262.441,-73.1013,250.4,212.051,59.7447
250.5,262.561,-73.0875,250.5,212.123,59.764
250.6,262.681,-73.0737,250.6,212.195,59.7833
250.7,262.802,-73.0598,250.7,212.267,59.8026
250.8,262.922,-73.0461,250.8,212.34,59.8219
250.9,263.042,-73.0322,250.9,212.412,59.8413
251,263.162,-73.0183,251,212.485,59.8606
251.1,263.281,-73.0045,251.1,212.558,59.88
251.2,263.401,-72.9905,251.2,212.631,59.8993
251.3,263.521,-72.9766,251.3,212.704,59.9187
251.4,263.641,-72.9628,251.4,212.777,59.9381
251.5,263.761,-72.9488,251.5,212.85,59.9574
251.6,263.88,-72.9349,251.6,212.924,59.9768
